Agency,Brand,Category,Video_Concept,URL,Indian_Equivalent,Marketing_Decision_Maker,LinkedIn_URL
StreetTalk,Dollar Shave Club,Men's Grooming,"Ask women ""what's BS about women's razors?"" → reveal DSC women's line → giveaway",https://www.streettalk.com/video-library/dollar-shave-club,Bombay Shaving Company,"Gauri Malhotra (CMO, left Aug 2025); pitch CEO Shantanu Deshpande or VP Growth & Marketing",https://linkedin.com/in/gauri-malhotra-4562498
StreetTalk,Dr. Squatch,Natural Soap / CPG,"Smell test — let strangers smell soap/deodorant → capture ""I'm reborn"" reactions",https://www.streettalk.com/video-library/dr-squatch,Bombay Shaving Company,"Gauri Malhotra (CMO, left Aug 2025); pitch CEO Shantanu Deshpande or VP Growth & Marketing",https://linkedin.com/in/gauri-malhotra-4562498
StreetTalk,IL MAKIAGE,Beauty / Foundation,Real-time foundation color match on street in natural sunlight,https://www.streettalk.com/video-library/il-makiage,Sugar Cosmetics,Naveen Murali - VP Marketing,https://linkedin.com/in/naveenmurali
StreetTalk,Masa Chips,Food & Beverage,Taste test — challenge assumption that chips = greasy seed oil snacks,https://www.streettalk.com/video-library/masa,Too Yumm,"Yogesh Tewari - CMO, Guiltfree Industries (RPSG FMCG)",https://linkedin.com/in/yogesh-tewari-96965a94
StreetTalk,Factor Meals,Ready-to-Eat Meals,Ask about dinner struggle → introduce ready-to-eat solution → taste test,https://www.streettalk.com/video-library/factormeals,EatFit,"Shruthi Ravishankar - Head of Brand Marketing, Curefoods",https://linkedin.com/in/shruthi-ravishankar-607aa2190
StreetTalk,Calm,Meditation/Sleep App,"Ask ""how many hours of sleep?"" → play sleep story → capture reactions",https://www.streettalk.com/video-library/calm,ThinkRightly,No public CMO (small app); pitch founder/CEO Ankur Agarwal,
StreetTalk,Ridge,Minimalist Wallets/Accessories,Ask worst travel experience → demo carry-on → compare to bulky wallets,https://www.streettalk.com/video-library/ridge-m2,Mokobara,Navin Parwal - Co-Founder & CMO,https://linkedin.com/in/navinparwal
StreetTalk,Carnivore Snax,Meat Snacks,Blind taste test of meat snack → skeptical → converted,https://www.streettalk.com/video-library/carnivore-snax,Licious,Joanesca Machado - Director Brand Marketing & Communications,https://linkedin.com/in/joanesca-machado-9475b887
StreetTalk,NOBS,Oral Care / CPG,Pop toothpaste tablet in mouth in public → capture surprised reactions,https://www.streettalk.com/video-library/nobs-atlanta,Perfora,No dedicated CMO; pitch co-founders Jatan Bawa / Tushar Khurana,
StreetTalk,Grüns,Nutritional Supplements,"Taste test greens gummy → capture ""wait this actually tastes good""",https://www.streettalk.com/video-library/nutrops-gruns,Wellbeing Nutrition,Varun Kandhari - Chief Marketing & Growth Officer (joined Jul 2025),https://linkedin.com/in/varun-kandhari-7261b517
StreetTalk,PrizePicks,Fantasy Sports / Gaming,Rapid-fire sports trivia on street → transition to app,https://www.streettalk.com/video-library/prizepicks,Dream11,Nikhil Lodha - Head of Marketing & Growth / CGO (elevated Jul 2025). Vikrant Mudaliar stepped down as CMO Jun 2026.,https://linkedin.com/in/nikhil-lodha-4898559a
StreetTalk,Jones Road Beauty,Clean Beauty,"""No-makeup makeup"" demo on everyday women of different ages",https://www.streettalk.com/video-library/jones-road-beauty,Minimalist,No dedicated CMO; pitch co-founders Mohit Yadav (CEO) / Rahul Yadav,
StreetTalk,Mike's Hot Honey,Condiment / Food,First-time taste — capture involuntary spice/sweet reaction,https://www.streettalk.com/video-library/mikeshothoney,Wingreens,Pawan Sarda was Group CMO (left ~Mar 2023). Current marketing head not publicly known.,
StreetTalk,Lemon Perfect,Flavored Water / Beverage,Beverage swap — blind taste against soda,https://www.streettalk.com/video-library/lemon-perfect,Paper Boat,Abhishek Verma - AVP Marketing & Category Head (Paperboat); Anirban C. - Associate Director Marketing; CEO Neeraj Kakkar brand oversight,https://linkedin.com/in/abhishek-verma-67981774
StreetTalk,Happy Viking,Plant Protein,Blind taste test of plant-based shake → capture shock at no chalky texture,https://www.streettalk.com/video-library/happy-viking,Oziva,No dedicated CMO; pitch co-founders Aarti Gill / Mihir Gadani. Pooja Yadav - Head D2C,https://linkedin.com/in/pooja-yadav-2057926b
StreetTalk,Salt & Stone,Natural Deodorant / CPG,Smell test — have strangers smell natural deodorant → prove it works,https://www.streettalk.com/video-library/salt-and-stone,MCaffeine,Vaishali Gupta - Co-Founder & Chief Growth Officer,
Street Poller Media,TrimRX,Telehealth / GLP-1,Fitness challenges + real people describing weight loss journey,https://streetpoller.com/case-studies/health-wellness/trimrx,PharmEasy,CMO role vacant since Gaurav Verma elevated to CBO (Sep 2024). Vaibhav Deshpande - Sr. GM Marketing is senior marketer.,https://linkedin.com/in/ybhavd
Street Poller Media,RevoMadic,Health & Beauty / DTC,Product demo on street → 76% CPA reduction,https://streetpoller.com/case-studies/health-wellness/revo-madic,MCaffeine,Vaishali Gupta - Co-Founder & Chief Growth Officer,
Street Poller Media,Join Fridays,Wellness / Membership,"Viral street polling → 5M+ views, 25k+ new members",https://streetpoller.com/case-studies/health-wellness/join-friday,Cult.fit,Siva Pedhapati - Head of Brand Marketing,
Street Poller Media,Born To Be Free,Skincare,Blind touch tests + skincare ingredient trivia,https://streetpoller.com/case-studies/health-wellness/born-to-be-free,Plum,Sasha Abraham - Head of Brand (joined 2025 from Disney Star),
Street Poller Media,Fudge Fuel,Health Snacks,Guilt-free chocolate blind tests → 4.3x ROAS,https://streetpoller.com/case-studies/health-wellness/fudgefuel,Yoga Bar,Aditya Anand - CMO / Co-Founder,https://linkedin.com/in/aditya-anand-b1a78338
Street Poller Media,Formulation Factory,Supplements / CPG,Internet culture + supplement awareness → 4x ROAS,https://streetpoller.com/case-studies/health-wellness/formulation-factory,HealthKart,"Samir Sharma - VP, Head of MB Brand Business & International Brands",https://linkedin.com/in/samirxl
